Algorithm,Category,Others,Platform,Industry,Self-Reported Tags,no_lable
,"Stablecoin,Algorithmic Stablecoin,Seigniorage,USD Stablecoin,Alleged SEC Securities",,"Cosmos Ecosystem,Terra Ecosystem,Injective Ecosystem,BNB Chain",,,
"PoW,Blake2S","Platform,Smart Contracts,Coinfund Portfolio,Multicoin Capital Portfolio,Layer 1,Kadena Ecosystem",Mineable,,Web3,,
,,,,,,"Ethereum Ecosystem,Telegram Bot"
,,,,,,"Marketplace,Gaming"
PoW,"Platform,Collectibles & NFTs,DeFi,Interoperability,Scaling,Smart Contracts,DAO,Polychain Capital Portfolio,Rollups,Blockchain Capital Portfolio,CMS Holdings Portfolio,DragonFly Capital Portfolio,Electric Capital Portfolio,Hashkey Capital Portfolio,Huobi Capital Portfolio,1Confirmation Portfolio,Multicoin Capital Portfolio",Mineable,,"Research,Web3",,
"PoW,Multiple algorithms",Collectibles & NFTs,Mineable,,"Medium of Exchange,IoT,Payments",,
,Cross-Chain,,"Ethereum Ecosystem,Avalanche Ecosystem,Polygon Ecosystem,Fantom Ecosystem,Arbitrum Ecosystem,Optimism Ecosystem",,,
,"DeFi,Governance,Launchpad,DAO Maker,VBC Ventures Portfolio",,Injective Ecosystem,,,
,,,,,,"Privacy,Payments,Arrington XRP Capital Portfolio"
,,,,,,"Derivatives,Coinbase Ventures Portfolio,Real World Assets"
,,,,,,
,"Platform,Scaling,Smart Contracts,Staking,Layer 2,Arrington XRP Capital Portfolio,BoostVC Portfolio,Galaxy Digital Portfolio,Hashkey Capital Portfolio",,,,,
PoW,"Interoperability,Masternodes,Smart Contracts,DAO,DApp,Storage,Governance,Cross-Chain",Mineable,,"Distributed Computing,Filesharing,Web3",,
,"DeFi,Derivatives,Oracles,DAO,Coinbase Ventures Portfolio,Governance,Blockchain Capital Portfolio,DragonFly Capital Portfolio,Placeholder Ventures Portfolio",,"Synthetics,Polygon Ecosystem,Injective Ecosystem",,,
PoW,"Platform,Privacy,Zero Knowledge Proofs,Masternodes,Scaling,Smart Contracts,Staking,Sidechain,DCG Portfolio",Mineable,,"Medium of Exchange,Enterprise Solutions,Content Creation,Web3",,
,"Binance Launchpool,MVB,Spartan Group,DWF Labs Portfolio",,,,,
,"Store Of Value,DeFi,Coinbase Ventures Portfolio,DCG Portfolio,Real World Assets",,,,,
,"Platform,Alameda Research Portfolio",,Injective Ecosystem,,,
,,,,,,Everscale Ecosystem
,,,,,,"DeFi,Payments"
DPoS,"Platform,Smart Contracts",,,Enterprise Solutions,,
"DAG,Blake2b",Store Of Value,,,"Medium of Exchange,Payments",,
,"Platform,Storage",,,"Distributed Computing,Filesharing,Web3",,
,,,,,,DWF Labs Portfolio
,"Decentralized Exchange (DEX) Token,DeFi,DAO,AMM,Three Arrows Capital Portfolio,Governance,Kenetic Capital Portfolio,Pantera Capital Portfolio,ParaFi Capital",,"Arbitrum Ecosystem,Optimism Ecosystem",Marketplace,,
PoS,"Platform,Scaling,Smart Contracts,Staking,DApp,Rollups,Sidechain,Binance Launchpad,Binance Labs Portfolio",,"Cosmos Ecosystem,Ethereum Ecosystem,BNB Smart Chain,Arbitrum Ecosystem,Injective Ecosystem,BNB Chain,Optimism Ecosystem",,,
,"Platform,Zero Knowledge Proofs,Scaling,State Channel,Substrate,Binance Launchpad,Arrington XRP Capital Portfolio,Pantera Capital Portfolio,SEI Ecosystem",,"Ethereum Ecosystem,Polkadot Ecosystem,Arbitrum Ecosystem,BNB Chain",Enterprise Solutions,,
,Metaverse,,"Ethereum Ecosystem,Polygon Ecosystem",Gaming,,
,,,,,,
,"Collectibles & NFTs,Metaverse,DWF Labs Portfolio",,,"Gaming,Entertainment",,
,"Privacy,Fabric Ventures Portfolio,Kenetic Capital Portfolio",,,"Media,Content Creation",,
,,,,,,"SEC Security Token,Alleged SEC Securities"
